okres;1THB;1USD;1AUD;1HKD;1CAD;1NZD;1SGD;1EUR;1HUF;1CHF;1GBP;1UAH;1JPY;1CZK;1DKK;100ISK;1NOK;1SEK;1HRK;1RON;1BGN;1TRY;1ILS;1CLP;1PHP;1MXN;1ZAR;1BRL;1MYR;1IDR;1INR;1KRW;1CNY
20210430;0,1211;3,7746;2,9323;0,4862;3,0749;2,7309;2,843;4,5654;1,2696;4,1502;5,2491;0,136;3,4657;0,1766;0,6139;3,064;0,4588;0,4492;0,605;0,9265;2,3342;0,4587;1,1623;0,5321;0,0782;0,1878;0,262;0,7071;0,9212;0,0503;2,6131;5,0928;0,3391
20210504;0,1217;3,794;2,9273;0,4885;3,0802;2,7104;2,8406;4,5539;1,2634;4,145;5,2622;0,1364;3,4673;0,1762;0,6124;3,0279;0,4559;0,4477;0,6039;0,9246;2,3283;0,4558;1,165;0,5386;0,079;0,1872;0,2619;0,6974;0,9204;0,0504;2,6291;5,1378;0,3374
20210505;0,1226;3,8136;2,9444;0,4909;3,1049;2,7346;2,8527;4,5752;1,2705;4,1655;5,2984;0,1375;3,4872;0,1769;0,6153;3,0522;0,4582;0,4487;0,6073;0,9286;2,3392;0,4559;1,1678;0,5419;0,0794;0,1887;0,2638;0,7004;0,9258;0,0511;2,6419;5,1598;0,3388
20210506;0,1219;3,8066;2,9483;0,49;3,1061;2,742;2,849;4,5829;1,2775;4,1809;5,2908;0,1372;3,4851;0,1775;0,6163;3,033;0,4571;0,4497;0,6086;0,9302;2,3432;0,4586;1,1663;0,5399;0,0793;0,1882;0,2666;0,711;0,9239;0,051;2,6584;5,1545;0,3385
20210507;0,1214;3,7861;2,9441;0,4875;3,1093;2,7367;2,8439;4,5764;1,2764;4,1723;5,272;0,1363;3,4693;0,1778;0,6154;3,0408;0,4568;0,4513;0,6074;0,929;2,3399;0,4567;1,1611;0,5407;0,0791;0,1885;0,2655;0,7175;0,9206;0,0511;2,6504;5,1481;0,338
20210510;0,1206;3,7493;2,9511;0,4828;3,096;2,7335;2,831;4,5631;1,2739;4,1651;5,2823;0,1351;3,4458;0,1779;0,6137;3,0279;0,4574;0,451;0,6057;0,9262;2,3331;0,4543;1,1545;0,5391;0,0784;0,1885;0,2679;0,7163;0,9129;0,0509;2,6407;5,1099;0,3366
20210511;0,1206;3,7514;2,9442;0,483;3,1022;2,731;2,8282;4,5628;1,2721;4,1592;5,305;0,1355;3,4475;0,1782;0,6137;3,0237;0,4549;0,4512;0,6055;0,926;2,3329;0,4513;1,1467;0,5383;0,0785;0,1888;0,2681;0,7181;0,9111;0,0507;2,6424;5,1144;0,3356
20210512;0,1201;3,7456;2,9235;0,4823;3,0989;2,7079;2,8205;4,5453;1,2702;4,1413;5,2969;0,1356;3,4442;0,178;0,6113;3,0201;0,4531;0,4494;0,6042;0,9223;2,324;0,4501;1,1413;0,5332;0,0784;0,1875;0,2677;0,7172;0,9077;0,0505;2,6382;5,1008;0,3328
20210513;0,12;3,7675;2,9037;0,4851;3,1033;2,6952;2,8214;4,5447;1,2734;4,1472;5,2861;0,1363;3,4385;0,1778;0,6112;3,0197;0,4498;0,446;0,6039;0,9222;2,3236;0,4434;1,1435;0,5326;0,0787;0,1871;0,2675;0,7103;0,9133;0,0506;2,6537;5,1199;0,3326
20210514;0,1192;3,7374;2,8944;0,4813;3,0791;2,6936;2,8009;4,5316;1,2722;4,1413;5,2571;0,1353;3,4199;0,1776;0,6094;3,011;0,4499;0,4465;0,6026;0,92;2,3169;0,4427;1,139;0,5282;0,0783;0,1882;0,2648;0,704;0,9059;0,0505;2,6324;5,1043;0,3313
20210517;0,1186;3,7288;2,8939;0,4801;3,0787;2,6911;2,7913;4,5298;1,285;4,1347;5,2602;0,1353;3,4142;0,1778;0,6092;3,0019;0,4517;0,4468;0,6028;0,9198;2,316;0,447;1,1389;0,5328;0,0779;0,1877;0,2641;0,7071;0,9025;0,0505;2,6105;5,0937;0,3284
20210518;0,1178;3,705;2,8903;0,4771;3,0818;2,6876;2,7872;4,5272;1,2898;4,1301;5,2657;0,1351;3,4037;0,1779;0,6088;3,0001;0,4504;0,4465;0,6022;0,9189;2,3147;0,4446;1,1346;0,5178;0,0775;0,1878;0,2645;0,7026;0,8986;0,0503;2,5959;5,077;0,3282
20210519;0,1179;3,7087;2,8761;0,4776;3,0684;2,671;2,7857;4,5306;1,289;4,1193;5,2596;0,1353;3,4006;0,1777;0,6093;3,0144;0,4483;0,446;0,6032;0,9195;2,3164;0,4404;1,1367;0,5206;0,0775;0,1863;0,2643;0,7049;0,897;0,0503;2,5967;5,0715;0,3285
20210520;0,1181;3,7077;2,8703;0,4777;3,0555;2,6606;2,781;4,5189;1,2922;4,1113;5,232;0,135;3,4039;0,1771;0,6077;3,0106;0,4452;0,4442;0,602;0,917;2,3105;0,4432;1,1367;0,5185;0,0774;0,1865;0,2631;0,6983;0,8946;0,0503;2,5792;5,0694;0,3275
20210521;0,1172;3,6778;2,8517;0,4737;3,0465;2,6434;2,7625;4,4958;1,2864;4,0999;5,2249;0,1339;3,3856;0,1764;0,6046;3,0113;0,4422;0,4437;0,5988;0,9124;2,2986;0,4395;1,13;0,51;0,0768;0,1849;0,2632;0,6962;0,8879;0,05;2,5621;5,0418;0,3259
20210524;0,1173;3,6795;2,84;0,4739;3,0473;2,6382;2,7648;4,4877;1,2901;4,0935;5,2022;0,1342;3,3781;0,1765;0,6035;3,0139;0,4405;0,442;0,5981;0,911;2,2945;0,4379;1,1295;0,5103;0,0764;0,1844;0,2628;0,6861;0,8883;0,0501;2,5634;5,048;0,3264
20210525;0,1166;3,6549;2,8388;0,4709;3,0349;2,6433;2,7571;4,4806;1,286;4,0902;5,185;0,1331;3,3613;0,1763;0,6026;3,0091;0,4399;0,4429;0,5967;0,9098;2,2909;0,4358;1,1265;0,5008;0,0759;0,1841;0,2637;0,687;0,8826;0,0498;2,551;5,02;0,3256
20210526;0,1174;3,6691;2,8538;0,4727;3,0383;2,6774;2,772;4,4914;1,282;4,0993;5,1945;0,1331;3,3704;0,1762;0,604;3,0204;0,4407;0,4425;0,5979;0,912;2,2964;0,4349;1,1297;0,4999;0,0762;0,1847;0,2649;0,6881;0,8857;0,05;2,5609;5,0459;0,3283
20210527;0,1181;3,6929;2,8577;0,4758;3,0469;2,6911;2,7887;4,498;1,2882;4,1087;5,2124;0,1342;3,3818;0,1765;0,6049;3,0412;0,4404;0,4439;0,5988;0,9145;2,2998;0,4369;1,1359;0,5058;0,0768;0,1859;0,2691;0,6952;0,892;0,0502;2,5847;5,0822;0,3304
20210528;0,1176;3,6766;2,8423;0,4738;3,0431;2,6688;2,7786;4,4845;1,2884;4,0941;5,22;0,1338;3,3469;0,176;0,603;3,0528;0,4411;0,4432;0,5965;0,9117;2,2929;0,4308;1,1301;0,5073;0,0768;0,1838;0,2658;0,7017;0,8894;0,05;2,5737;5,0747;0,33
20210531;0,1176;3,6724;2,842;0,4732;3,0433;2,6664;2,7789;4,4805;1,2866;4,0815;5,2044;0,1337;3,3492;0,1757;0,6025;3,0356;0,4391;0,4426;0,5968;0,9106;2,2908;0,4328;1,1312;0,5069;0,077;0,1843;0,2674;0,7029;0,8894;0,0501;2,5718;5,0621;0,3314
20210601;0,1174;3,659;2,833;0,4716;3,0396;2,6584;2,7675;4,4749;1,2887;4,0709;5,1919;0,1334;3,3392;0,1758;0,6017;3,0318;0,4432;0,443;0,596;0,9098;2,288;0,4288;1,128;0,5062;0,0766;0,184;0,2662;0,7012;0,8862;0,0499;2,5623;5,0223;0,3305
20210602;0,1177;3,6659;2,8302;0,4725;3,0345;2,6481;2,7686;4,4654;1,2891;4,0707;5,1821;0,134;3,3367;0,1755;0,6005;3,0356;0,44;0,4425;0,5951;0,9076;2,2831;0,4247;1,1266;0,5032;0,0766;0,1833;0,266;0,7116;0,8882;0,0499;2,5671;5,0156;0,3293
20210604;0,1182;3,6931;2,8301;0,4761;3,0463;2,6416;2,7808;4,4734;1,2878;4,0838;5,2174;0,1354;3,3534;0,1757;0,6015;3,0452;0,4398;0,4421;0,5962;0,9087;2,2872;0,4247;1,1348;0,5137;0,0774;0,1829;0,2701;0,7273;0,8946;0,0504;2,5835;5,0561;0,3311
20210607;0,1175;3,6656;2,8413;0,4725;3,032;2,6452;2,7696;4,4581;1,2899;4,0756;5,1838;0,1349;3,3517;0,1754;0,5995;3,0307;0,4426;0,4434;0,5943;0,9056;2,2794;0,4253;1,1282;0,5103;0,077;0,1847;0,2725;0,7264;0,888;0,0503;2,5698;5,0343;0,3296
20210608;0,1176;3,669;2,8419;0,4729;3,0357;2,6463;2,7718;4,4674;1,2861;4,0901;5,1889;0,135;3,3508;0,1757;0,6007;3,0453;0,4444;0,443;0,596;0,9075;2,2841;0,4272;1,1296;0,512;0,0769;0,1854;0,2706;0,7269;0,8904;0,0505;2,5738;5,0337;0,3288
20210609;0,1173;3,6545;2,8311;0,471;3,0227;2,6324;2,7617;4,4541;1,2835;4,0775;5,1837;0,1349;3,3379;0,1754;0,5989;3,0321;0,4422;0,4422;0,594;0,9045;2,2773;0,4255;1,126;0,5092;0,0766;0,1859;0,2696;0,7256;0,8875;0,0507;2,5637;5,0108;0,3283
20210610;0,1182;3,6821;2,85;0,4745;3,0399;2,6453;2,7788;4,48;1,2936;4,1084;5,1876;0,1359;3,363;0,1761;0,6025;3,0373;0,4421;0,4447;0,5976;0,9101;2,2906;0,4309;1,1346;0,5115;0,0771;0,1867;0,2695;0,7272;0,894;0,051;2,5844;5,0374;0,3301
20210611;0,1184;3,6759;2,8531;0,4738;3,0404;2,6459;2,7789;4,4723;1,2925;4,1043;5,204;0,136;3,3558;0,1768;0,6015;3,0424;0,4434;0,4448;0,597;0,9087;2,2866;0,4406;1,134;0,5107;0,077;0,1868;0,2709;0,7271;0,8945;0,0513;2,5909;5,0318;0,3304
20210614;0,1194;3,7185;2,8666;0,4791;3,0569;2,654;2,8016;4,5027;1,2862;4,136;5,2369;0,1378;3,3908;0,1769;0,6055;3,0589;0,4467;0,4465;0,6013;0,9155;2,3022;0,4447;1,1451;0,515;0,0777;0,1868;0,2697;0,7269;0,9036;0,0514;2,6182;5,0743;0,3324
20210615;0,1199;3,7349;2,8728;0,4811;3,0704;2,6661;2,8154;4,5306;1,2898;4,1601;5,2617;0,1388;3,3913;0,178;0,6093;3,0779;0,4491;0,4495;0,6051;0,9203;2,3164;0,4367;1,1532;0,5192;0,0777;0,1876;0,2716;0,7381;0,9073;0,052;2,6256;5,094;0,3341
20210616;0,1198;3,7336;2,8764;0,481;3,0654;2,6664;2,8158;4,5285;1,2889;4,1567;5,2657;0,1382;3,3962;0,1779;0,6089;3,0848;0,4477;0,4476;0,6052;0,9196;2,3154;0,4388;1,1519;0,5135;0,0777;0,1869;0,2712;0,74;0,9072;0,0519;2,6224;5,0896;0,334
20210617;0,1208;3,7931;2,8825;0,4884;3,08;2,676;2,8323;4,5309;1,2809;4,1505;5,2999;0,1397;3,4274;0,1778;0,6092;3,0864;0,4452;0,445;0,6046;0,9201;2,3166;0,4384;1,1632;0,5194;0,0783;0,1854;0,2695;0,7503;0,9167;0,0522;2,6424;5,1231;0,3352
20210618;0,1215;3,8198;2,88;0,492;3,088;2,6697;2,8469;4,5503;1,2805;4,158;5,3015;0,1405;3,4678;0,1784;0,6119;3,0997;0,4454;0,4459;0,607;0,9238;2,3265;0,4411;1,1698;0,5172;0,0789;0,187;0,2709;0,7627;0,9223;0,0529;2,6572;5,164;0,338
20210621;0,1208;3,8214;2,8651;0,4922;3,0676;2,6606;2,84;4,5442;1,2811;4,1486;5,2883;0,1401;3,4754;0,1777;0,6111;3,0997;0,4412;0,4444;0,606;0,9224;2,3234;0,4367;1,1702;0,5104;0,0784;0,186;0,2675;0,7507;0,9209;0,0523;2,6487;5,1551;0,3372
20210622;0,1202;3,8132;2,86;0,4911;3,0783;2,6597;2,8312;4,5366;1,282;4,1451;5,2883;0,1396;3,4513;0,1776;0,6101;3,0945;0,4431;0,4462;0,605;0,921;2,3195;0,4351;1,1687;0,5101;0,0783;0,185;0,2661;0,7604;0,9177;0,0521;2,6476;5,1383;0,336
20210623;0,1189;3,7878;2,865;0,4878;3,0806;2,6664;2,8144;4,52;1,2941;4,1231;5,2915;0,1389;3,4154;0,1777;0,6078;3,0874;0,4456;0,4468;0,6028;0,9175;2,311;0,4405;1,1644;0,5109;0,0777;0,1867;0,267;0,7638;0,9093;0,0522;2,6245;5,1016;0,3334
20210624;0,1192;3,7986;2,8779;0,4893;3,0884;2,68;2,8251;4,5302;1,2961;4,1296;5,3072;0,1385;3,4263;0,1787;0,6092;3,0944;0,4469;0,4482;0,6041;0,9198;2,3162;0,4377;1,1674;0,516;0,078;0,1884;0,2665;0,7648;0,9125;0,0526;2,6306;5,1171;0,3352
20210625;0,1188;3,7749;2,8679;0,4864;3,0682;2,6711;2,8136;4,5085;1,2833;4,1175;5,2516;0,1379;3,4092;0,1771;0,6063;3,0775;0,4449;0,446;0,6014;0,9154;2,3051;0,434;1,1635;0,5143;0,0778;0,1904;0,2669;0,7681;0,9082;0,0523;2,617;5,0869;0,3347
20210628;0,1182;3,7762;2,864;0,4865;3,0709;2,6678;2,8125;4,5092;1,2843;4,1139;5,2585;0,1382;3,4104;0,1769;0,6064;3,0612;0,4438;0,4462;0,6015;0,9152;2,3056;0,4338;1,1595;0,515;0,0776;0,1903;0,2649;0,7652;0,9115;0,0523;2,6142;5,088;0,3341
20210629;0,1184;3,7914;2,8549;0,4884;3,0631;2,6542;2,8197;4,5123;1,2852;4,1161;5,2459;0,1396;3,4278;0,1772;0,6069;3,0633;0,4422;0,4443;0,6023;0,9158;2,3071;0,4343;1,1637;0,5158;0,0779;0,191;0,2647;0,7696;0,9135;0,0523;2,6174;5,1038;0,3351
20210630;0,1186;3,8035;2,8523;0,4899;3,0621;2,6542;2,8278;4,5208;1,285;4,1212;5,2616;0,1396;3,4428;0,1773;0,608;3,0733;0,4434;0,4466;0,6035;0,9174;2,3114;0,437;1,1691;0,5227;0,0778;0,1917;0,2653;0,7673;0,9161;0,052;2,6231;5,1091;0,3367
20210701;0,119;3,8149;2,8566;0,4913;3,0734;2,6645;2,8338;4,5187;1,2866;4,1167;5,2574;0,1392;3,4244;0,1773;0,6077;3,0802;0,4424;0,4448;0,6033;0,9171;2,3104;0,4392;1,1703;0,5209;0,0775;0,1909;0,2665;0,7675;0,9177;0,0523;2,6305;5,1206;0,3367
20210702;0,1188;3,8263;2,8516;0,4925;3,0767;2,6621;2,8313;4,5257;1,2865;4,1317;5,2631;0,1397;3,4325;0,1769;0,6086;3,0766;0,4419;0,445;0,6044;0,9185;2,3139;0,4405;1,1697;0,5167;0,0776;0,1914;0,2645;0,7579;0,919;0,052;2,633;5,1112;0,3369
20210705;0,1183;3,7979;2,8605;0,4889;3,0772;2,6685;2,8229;4,5083;1,2829;4,1207;5,2606;0,1392;3,4246;0,1763;0,6063;3,0648;0,4427;0,4443;0,602;0,915;2,305;0,4383;1,164;0,5171;0,0771;0,1918;0,2664;0,7507;0,9137;0,0518;2,6235;5,1083;0,336
20210706;0,1183;3,8021;2,8817;0,4895;3,0804;2,6931;2,8284;4,5036;1,2738;4,1172;5,2683;0,1395;3,4313;0,1759;0,6057;3,0616;0,4428;0,4446;0,6017;0,914;2,3026;0,44;1,1655;0,5163;0,0765;0,1917;0,2673;0,7467;0,9154;0,0519;2,6276;5,1018;0,3358
20210707;0,1184;3,8225;2,869;0,4921;3,0714;2,6853;2,8361;4,5197;1,2757;4,1402;5,2671;0,1402;3,4513;0,1762;0,6078;3,0809;0,44;0,4457;0,6036;0,9171;2,3109;0,4399;1,1696;0,5111;0,0768;0,191;0,2661;0,7355;0,9184;0,0514;2,6394;5,1189;0,336
20210708;0,1183;3,8408;2,857;0,4944;3,057;2,677;2,8411;4,5414;1,2682;4,1858;5,2955;0,1407;3,4967;0,1758;0,6107;3,1042;0,4372;0,4459;0,6065;0,9217;2,322;0,4405;1,1719;0,5127;0,0769;0,191;0,2671;0,734;0,9185;0,0511;2,6443;5,1388;0,3345
20210709;0,118;3,8427;2,8584;0,4947;3,0687;2,6708;2,837;4,5467;1,2773;4,1965;5,2942;0,1406;3,4902;0,1764;0,6114;3,1078;0,4383;0,4463;0,6069;0,9225;2,3247;0,4423;1,1731;0,51;0,0768;0,1928;0,269;0,7306;0,9171;0,0516;2,645;5,1477;0,3347
20210712;0,1177;3,8378;2,8671;0,4941;3,0736;2,6759;2,8406;4,5559;1,2821;4,1965;5,3192;0,1406;3,486;0,1768;0,6126;3,1141;0,4413;0,447;0,608;0,9246;2,3294;0,4441;1,1696;0,5126;0,0765;0,1925;0,2675;0,7297;0,9157;0,0515;2,6483;5,147;0,3346
20210713;0,1181;3,8533;2,8844;0,4962;3,0914;2,6927;2,8502;4,5662;1,2817;4,2087;5,3412;0,141;3,4918;0,1779;0,6139;3,1211;0,4436;0,4486;0,6095;0,9267;2,3346;0,4459;1,1748;0,5181;0,0772;0,1939;0,2651;0,7447;0,9195;0,0521;2,6642;5,1745;0,3368
20210714;0,1192;3,8955;2,8981;0,5015;3,112;2,7286;2,8733;4,5904;1,2799;4,2384;5,3941;0,1426;3,5251;0,1786;0,6172;3,1334;0,4432;0,4496;0,6129;0,9314;2,347;0,4512;1,1862;0,5196;0,0774;0,1948;0,2642;0,7544;0,9274;0,0525;2,6902;5,2202;0,3388
20210715;0,1182;3,8629;2,8866;0,4973;3,0888;2,7139;2,8562;4,5777;1,2753;4,2349;5,349;0,1415;3,5198;0,1791;0,6155;3,1333;0,4422;0,4479;0,6112;0,9286;2,3405;0,4502;1,1846;0,5184;0,077;0,1943;0,2663;0,7617;0,9197;0,0521;2,6673;5,1831;0,3384
20210716;0,1185;3,8808;2,8882;0,4995;3,0887;2,7274;2,8672;4,5865;1,2764;4,2219;5,3788;0,1425;3,5254;0,1797;0,6167;3,1436;0,4409;0,4481;0,6119;0,9305;2,345;0,4543;1,1838;0,5127;0,0772;0,1954;0,2699;0,7592;0,9219;0,0524;2,6769;5,2039;0,3403
20210719;0,1186;3,8968;2,8668;0,5015;3,0602;2,7147;2,8639;4,5877;1,2738;4,2297;5,3432;0,1432;3,551;0,1791;0,6168;3,1401;0,437;0,4469;0,6118;0,9311;2,3456;0,4528;1,182;0,5154;0,077;0,1949;0,269;0,7618;0,9227;0,0523;2,6842;5,2041;0,3386
20210720;0,1188;3,9012;2,8581;0,5019;3,0587;2,6962;2,8525;4,5983;1,279;4,2477;5,3307;0,1433;3,5582;0,1793;0,6182;3,1431;0,4343;0,4486;0,6126;0,9334;2,351;0,4556;1,1833;0,5131;0,0769;0,1945;0,268;0,7427;0,9235;0,0524;2,6872;5,2274;0,3397
20210721;0,1188;3,9035;2,8572;0,5021;3,08;2,7042;2,8559;4,5983;1,2782;4,2379;5,3203;0,1433;3,5453;0,1789;0,6182;3,1238;0,4355;0,4491;0,611;0,9335;2,351;0,4545;1,1863;0,5148;0,0777;0,194;0,2659;0,7476;0,9223;0,0525;2,6842;5,2411;0,3382
20210722;0,118;3,8801;2,8614;0,4992;3,0868;2,701;2,8515;4,5773;1,275;4,2279;5,3286;0,1428;3,5195;0,1786;0,6154;3,0928;0,4382;0,4472;0,6083;0,9293;2,3403;0,4535;1,1858;0,5155;0,0774;0,1926;0,2669;0,7478;0,9185;0,0526;2,6791;5,2154;0,3376
20210723;0,118;3,8851;2,8638;0,5;3,0917;2,7107;2,8577;4,5747;1,2751;4,2208;5,3349;0,1437;3,5166;0,1781;0,615;3,0827;0,439;0,4476;0,6072;0,9293;2,339;0,4539;1,1887;0,5153;0,0773;0,1934;0,2631;0,747;0,9193;0,0527;2,6808;5,2208;0,3378
20210726;0,1181;3,8915;2,8587;0,5005;3,0972;2,71;2,8611;4,5858;1,2687;4,2381;5,3582;0,1442;3,5305;0,1782;0,6166;3,086;0,4359;0,4481;0,609;0,9319;2,3447;0,4545;1,1919;0,5106;0,0773;0,1936;0,261;0,7481;0,92;0,0525;2,6871;5,226;0,3369
20210727;0,1184;3,9017;2,8677;0,5014;3,0997;2,7128;2,8693;4,5954;1,2702;4,254;5,3766;0,145;3,5447;0,1786;0,6179;3,0925;0,4391;0,4513;0,6123;0,9342;2,3496;0,4562;1,1988;0,5133;0,0774;0,1939;0,262;0,7537;0,9221;0,0528;2,6922;5,2408;0,3382
20210728;0,1182;3,8849;2,8571;0,4992;3,091;2,7005;2,859;4,5955;1,2799;4,2533;5,3979;0,1448;3,5336;0,1789;0,6178;3,0842;0,438;0,4507;0,6124;0,9343;2,3496;0,4537;1,1956;0,5059;0,0771;0,1949;0,2631;0,7515;0,9173;0,0529;2,6816;5,2248;0,3368
20210729;0,1175;3,8617;2,8589;0,4967;3,0992;2,7009;2,8525;4,5866;1,2781;4,2526;5,3909;0,1436;3,5168;0,1796;0,6167;3,0991;0,4416;0,4503;0,6109;0,932;2,3451;0,453;1,1891;0,5069;0,0768;0,1945;0,2636;0,7548;0,9123;0,0528;2,6665;5,2011;0,337
20210730;0,1169;3,841;2,8423;0,4941;3,0902;2,6947;2,8416;4,5731;1,2782;4,2444;5,3681;0,1432;3,5077;0,1795;0,6148;3,1067;0,4384;0,4495;0,6095;0,9292;2,3382;0,4558;1,188;0,5052;0,0768;0,1933;0,2639;0,7558;0,9097;0,0526;2,6558;5,1636;0,3348
20210802;0,1164;3,8377;2,8226;0,4935;3,0784;2,6779;2,8387;4,5611;1,2787;4,2383;5,3424;0,1429;3,4999;0,1789;0,6132;3,107;0,4351;0,4465;0,6083;0,9275;2,332;0,456;1,1896;0,5072;0,0769;0,1932;0,2644;0,7362;0,9083;0,0526;2,6609;5,1611;0,3336
20210803;0,116;3,8315;2,8314;0,4927;3,0616;2,6841;2,8363;4,5533;1,2822;4,2366;5,3305;0,1428;3,5104;0,1786;0,6121;3,1017;0,4365;0,4469;0,6071;0,9256;2,328;0,4601;1,1893;0,4986;0,0771;0,1932;0,267;0,7402;0,9077;0,0526;2,6715;5,1601;0,3337
20210804;0,1159;3,8366;2,8451;0,4935;3,0601;2,7112;2,8438;4,5468;1,2815;4,2361;5,3448;0,1426;3,5136;0,1787;0,6114;3,0931;0,4351;0,4459;0,6062;0,9244;2,3247;0,4542;1,1931;0,4945;0,0771;0,193;0,2691;0,7382;0,9086;0,0527;2,6806;5,1692;0,3356
20210805;0,1159;3,8485;2,8492;0,4949;3,0738;2,7175;2,8489;4,5555;1,2866;4,2454;5,3553;0,1428;3,511;0,1793;0,6126;3,078;0,4357;0,447;0,6072;0,9263;2,3292;0,4497;1,1974;0,497;0,0765;0,1928;0,2677;0,7444;0,9127;0,0526;2,6833;5,1876;0,3368
20210806;0,1154;3,8519;2,8476;0,4954;3,0789;2,7164;2,8506;4,5495;1,2884;4,2422;5,3612;0,1436;3,5085;0,1792;0,6117;3,0781;0,4358;0,4467;0,6065;0,9256;2,3261;0,449;1,1965;0,4951;0,0763;0,1932;0,265;0,7342;0,9133;0,0527;2,6838;5,1959;0,3369
20210809;0,1162;3,8885;2,8553;0,4996;3,0969;2,7254;2,8666;4,5709;1,2896;4,2421;5,3883;0,1449;3,5291;0,1798;0,6146;3,0926;0,4362;0,4478;0,6094;0,9302;2,337;0,4487;1,2055;0,4933;0,0771;0,1941;0,266;0,7433;0,9194;0,0529;2,7074;5,2359;0,3393
20210810;0,1163;3,8937;2,8568;0,5003;3,0974;2,7208;2,8662;4,5681;1,2954;4,2272;5,3977;0,1456;3,524;0,1799;0,6142;3,0866;0,4358;0,4471;0,609;0,9292;2,3356;0,4502;1,2075;0,4956;0,0772;0,1938;0,2628;0,744;0,9208;0,0529;2,7073;5,2329;0,3383
20210811;0,1173;3,9148;2,8683;0,5031;3,1233;2,7398;2,8781;4,5854;1,2926;4,2385;5,406;0,146;3,5335;0,1806;0,6165;3,0982;0,4383;0,4488;0,6117;0,9328;2,3445;0,4529;1,2149;0,5025;0,0776;0,1951;0,2638;0,7543;0,9233;0,0529;2,7219;5,2597;0,338
20210812;0,1184;3,9074;2,8786;0,5022;3,1234;2,7497;2,8809;4,59;1,299;4,2404;5,4166;0,146;3,5407;0,1806;0,6172;3,1014;0,4427;0,4511;0,612;0,934;2,3468;0,4553;1,2127;0,5065;0,0775;0,1965;0,2667;0,7486;0,9232;0,0532;2,7168;5,2626;0,3361
20210813;0,1167;3,8934;2,8582;0,5002;3,1106;2,7281;2,8668;4,5718;1,2963;4,2204;5,3726;0,1459;3,5306;0,1801;0,6147;3,0891;0,4403;0,4484;0,6098;0,9306;2,3375;0,4558;1,2081;0,5025;0,077;0,1955;0,2622;0,741;0,9188;0,053;2,7061;5,2426;0,3331
20210816;0,1158;3,873;2,843;0,4976;3,0888;2,7241;2,8569;4,5651;1,2973;4,2425;5,3682;0,1455;3,5428;0,1798;0,6139;3,0845;0,4384;0,4472;0,6089;0,9294;2,3341;0,4566;1,2034;0,4991;0,0765;0,1948;0,2633;0,7386;0,9143;0,0528;2,6948;5,2247;0,3327
20210817;0,1166;3,8797;2,8307;0,4981;3,0759;2,6884;2,8552;4,5691;1,2982;4,2602;5,3571;0,1454;3,5494;0,1795;0,6144;3,0789;0,4388;0,4483;0,6098;0,9283;2,3361;0,4607;1,2025;0,4931;0,0769;0,1951;0,2609;0,7374;0,9151;0,0528;2,6994;5,2218;0,3303
20210818;0,1167;3,8861;2,8207;0,4991;3,0797;2,6874;2,857;4,5547;1,2971;4,2553;5,3465;0,1458;3,5447;0,1787;0,6125;3,0692;0,4364;0,4447;0,6081;0,9245;2,3288;0,4577;1,1999;0,4919;0,077;0,1947;0,261;0,7338;0,9177;0,0529;2,7038;5,2308;0,332
20210819;0,1174;3,9226;2,8074;0,5034;3,0766;2,6755;2,8752;4,5843;1,3044;4,2818;5,3649;0,1472;3,5787;0,1798;0,6164;3,0892;0,4356;0,4467;0,611;0,9302;2,3439;0,459;1,2086;0,498;0,0776;0,1946;0,2585;0,729;0,9249;0,0529;2,7235;5,269;0,3333
20210820;0,1178;3,9301;2,798;0,5044;3,044;2,6808;2,8818;4,588;1,3089;4,2816;5,3536;0,1473;3,583;0,1799;0,6169;3,0792;0,4324;0,4447;0,6115;0,9297;2,3458;0,4599;1,2125;0,4997;0,078;0,1942;0,2562;0,7257;0,9272;0,0528;2,7193;5,2799;0,3322
20210823;0,1171;3,9107;2,8042;0,502;3,0691;2,6802;2,8775;4,5876;1,3106;4,2781;5,3394;0,1465;3,5571;0,1795;0,6168;3,0666;0,4369;0,4469;0,6119;0,9298;2,3456;0,4614;1,2109;0,4971;0,0779;0,1924;0,2563;0,7272;0,9249;0,0528;2,7134;5,2667;0,3337
20210824;0,1185;3,9086;2,8234;0,5018;3,0941;2,7111;2,8803;4,5848;1,3132;4,2811;5,3589;0,1465;3,5602;0,1794;0,6165;3,0525;0,4395;0,4488;0,6116;0,9302;2,3441;0,4632;1,2132;0,4983;0,0779;0,1921;0,2581;0,7263;0,927;0,0528;2,7157;5,2675;0,3348
20210825;0,1189;3,8869;2,8211;0,4993;3,0821;2,7043;2,8726;4,5679;1,3151;4,2573;5,337;0,1455;3,5418;0,1789;0,6142;3,0575;0,4403;0,4472;0,6099;0,9267;2,3355;0,4629;1,205;0,4964;0,078;0,1924;0,2599;0,7408;0,9236;0,0527;2,6997;5,2372;0,3331
20210826;0,1189;3,8912;2,8234;0,4997;3,0847;2,7048;2,8751;4,5758;1,3117;4,2422;5,3446;0,1454;3,5317;0,179;0,6153;3,0793;0,4415;0,4469;0,611;0,9278;2,3395;0,4643;1,2074;0,4963;0,0778;0,1915;0,26;0,7464;0,9276;0,0526;2,6989;5,243;0,3323
